"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","許可_總床數","許可_養護床","許可_長照床","許可_安養床",
"宜蘭縣私立長青老人養護中心","宜蘭縣","宜蘭市","縣政十二街40號","宜蘭縣宜蘭市縣政十二街40號","1","養護型機構","<year=102&class=3>","","?03-9255757","?03-9254756","http://www.longlive.com.tw/","?hueijueng03@gmail.com","True","48","48","0","0",
"宜蘭縣私立祥德老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","東港路校舍巷216弄2、6號","宜蘭縣宜蘭市東港路校舍巷216弄2、6號","1","養護型機構","<year=102&class=3>","","無","無","無","無","True","37","37","0","0",
"宜蘭縣私立廣親老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","泰山路260、262號","宜蘭縣宜蘭市泰山路260、262號","1","養護型機構","<year=102&class=2>","","無","無","無","無","True","48","48","0","0",
"宜蘭縣私立慈恩老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","北津里津梅路1-19號","宜蘭縣宜蘭市北津里津梅路1-19號","1","養護型機構","<year=102&class=2>","","無","無","無","無","True","42","42","0","0",
"宜蘭縣私立順泰老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","民權新路47巷10、12、14、16號","宜蘭縣宜蘭市民權新路47巷10、12、14、16號","1","養護型機構","<year=102&class=3>","","無","無","無","無","True","49","49","0","0",
"財團法人宜蘭縣私立宏仁老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","舊城北路177號","宜蘭縣宜蘭市舊城北路177號","1","養護型機構","<year=102&class=3>","","無","無","無","無","True","88","66","22","0",
"宜蘭縣私立祥愛老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","北津里津梅路73號","宜蘭縣宜蘭市北津里津梅路73號","1","養護型機構","<year=104&class=2>","","無","無","無","無","True","43","43","0","0",
"宜蘭縣私立祥泰老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","中山路3段87號5、6樓","宜蘭縣宜蘭市中山路3段87號5、6樓","1","養護型機構","<year=104&class=3>","","?03-9366666","?03-9368666","無","?myhtlife@gmail.com","True","49","30","19","0",
"宜蘭縣私立和信老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","和睦路團管區巷17號","宜蘭縣宜蘭市和睦路團管區巷17號","1","養護型機構","<year=104&class=3>","","無","無","無","無","True","49","49","0","0",
"宜蘭縣私立萬安老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","聖後街118號4樓","宜蘭縣宜蘭市聖後街118號4樓","1","養護型機構","<year=102&class=2>","","無","無","無","無","True","42","42","0","0",
