"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","許可_總床數","許可_養護床","許可_長照床","許可_安養床",
"金門縣松柏園老人長期照顧中心","金門縣","金湖鎮","裕民農莊22號","金門縣金湖鎮裕民農莊22號","1","長期照護型機構","<year=103&class=2>","","082-335395","082-333901","http://yenweb.com.tw/care/","tinegarden22@gmail.com","True","174","81","57","0",
"宜蘭縣私立馨愛老人長期照顧中心(長期照護型)","宜蘭縣","宜蘭市","宜興路3段121號","宜蘭縣宜蘭市宜興路3段121號","1","長期照護型機構","<year=102&class=2>","","?03-9283149","?03-9287353","http://www.sing-ai.url.tw/","?tsai3951@yahoo.com.tw,sss039322628@yahoo.com.tw","True","32","0","32","0",
"財團法人苗栗縣私立華康長期照護機構","苗栗縣","苗栗市","水源里中正路367號5樓","苗栗縣苗栗市水源里中正路367號5樓","1","長期照護型機構","<year=101&class=2>","","?037-352631","?037-323733","無","?sheiho6000@gmail.com","True","25","0","25","0",
"苗栗縣私立杏安老人長期照顧中心","苗栗縣","竹南鎮","崎頂里3鄰天祥街二段327號","苗栗縣竹南鎮崎頂里3鄰天祥街二段327號","1","長期照護型機構","<year=101&class=3>","","?037-478282","?037-478292","無","無","True","49","0","49","0",
"財團法人苗栗縣私立向陽社會福利慈善事業基金會附設苗栗縣私立東照長期照護機構","苗栗縣","頭份鎮","頭份區東興路110號3-4樓及三份5之14樓7之14樓","苗栗縣頭份市東興路110號3-4樓及三份5之14樓7之14樓","1","長期照護型機構","無","1","?037-661007","?037-661837","無","?avont1219@yahoo.yahoo.com.tw","True","99","22","77","0",
"彰化縣私立寶祥長期照護中心","彰化縣","彰化市","永福里中山路二段605號3樓之2-3","彰化縣彰化市永福里中山路二段605號3樓之2-3","1","長期照護型機構","<year=103&class=2>","","?04-7290005","?04-7290006","無","relax2266@yahoo.com.tw","True","22","0","22","0",
"彰化縣私立崇愛老人長期照護中心","彰化縣","彰化市","和平里金馬路三段912號2_5樓","彰化縣彰化市和平里金馬路三段912號2_5樓","1","長期照護型機構","<year=103&class=2>","","04-7626956","04-7515475","無","June0921@yahoo.com.tw","True","49","0","49","0",
"彰化縣私立彰居老人長期照顧中心(長期照護型)","彰化縣","彰化市","成功里民族路178-1號","彰化縣彰化市成功里民族路178-1號","1","長期照護型機構","<year=103&class=2>","","?04-7286828","?04-7287888","無","micki0416@hotmail.com;micki0416@hotmail.com","True","29","0","29","0",
"彰化縣私立慈美老人長期照顧中心(長期照護型)","彰化縣","和美鎮","四張里西美路183號","彰化縣和美鎮四張里西美路183號","1","長期照護型機構","<year=102&class=2>","","?04-7568497","?04-7568992","無","?cihmei@yahoo.com.tw","True","27","0","27","0",
"彰化縣私立福澤老人長期照顧中心(長期照護型)","彰化縣","秀水鄉","福安村民意街187巷40號","彰化縣秀水鄉福安村民意街187巷40號","1","長期照護型機構","<year=102&class=2>","","?04-7680007","?04-7698531","無","?fuze@hotmail.com.tw","True","20","0","20","0",
