"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","員工資訊","許可_總床數","護理人員_合計","醫事人員_合計",
"國立陽明大學附設醫院護理之家","宜蘭縣","宜蘭市","新民路152號","宜蘭縣宜蘭市新民路152號","02","一般護理之家","<year=104&class=2>","","03-9325192","03-9354210","http://www.ymuh.ym.edu.tw/index.php/age-friendly/long-term-care/nursing-home.html","11237@ymuh.ym.edu.tw","True","","26","6","0",
"迦勒護理之家","宜蘭縣","宜蘭市","宜興路ㄧ段79號3-5樓","宜蘭縣宜蘭市宜興路ㄧ段79號3-5樓","02","一般護理之家","<year=102&class=2>","","03-9315119","03-9315120","http://caleb.org.tw/caleb_ci/index.html","chiou42326@yahoo.com.tw","True","","99","6","1",
"私立六福護理之家","宜蘭縣","羅東鎮","南門路37號","宜蘭縣羅東鎮南門路37號","02","一般護理之家","<year=102&class=3>","","03-9558886","03-9547701","無","sixhappyness@yahoo.com.tw","True","","84","7","0",
"財團法人天主教靈醫會羅東聖母醫院附設護理之家","宜蘭縣","羅東鎮","中正南路１６０號","宜蘭縣羅東鎮中正南路１６０號","02","一般護理之家","<year=104&class=3>","","03 9544106","03-9553318","http://www.smh.org.tw/nh/p1.htm","nh@smh.org.tw","True","","60","12","0",
"臺北榮民總醫院蘇澳分院附設護理之家","宜蘭縣","蘇澳鎮","蘇濱路一段301號","宜蘭縣蘇澳鎮蘇濱路一段301號","02","一般護理之家","<year=104&class=1>","","03-9905106#336","03-9906782","http://www.savh.gov.tw/savh/index.php?module=DeptInfo&action=about&sn=47","pinpin@mail.savh.gov.tw","True","True","98","11","0",
"建生醫院附設護理之家","宜蘭縣","蘇澳鎮","中山路一段218號","宜蘭縣蘇澳鎮中山路一段218號","02","一般護理之家","<year=104&class=3>","","03-9962246","03-9972452","http://sojshp.site50.net/52.htm","jshosp@ms29.hinet.net","True","","26","3","0",
"宜蘭普門醫療財團法人附設普門護理之家","宜蘭縣","員山鄉","深溝村尚深路91號","宜蘭縣員山鄉深溝村尚深路91號","02","一般護理之家","<year=103&class=3>","","03-9220292","03-9220333","http://www.pumen.org.tw/div_3.html","j5600@mail.jen-ai.org.tw","True","","50","5","0",
"臺北榮民總醫院員山分院附設護理之家","宜蘭縣","員山鄉","榮光路386號","宜蘭縣員山鄉榮光路386號","02","一般護理之家","<year=104&class=2>","","03-9222141","03-9226353","http://www.ysvh.gov.tw/ysvh/index.php?module=DeptInfo&action=about&sn=42","ysvh3262@mail.ysvh.gov.tw","True","","67","6","0",
"宜蘭普門醫療財團法人附設護理之家","宜蘭縣","員山鄉","深溝村尚深路91號","宜蘭縣員山鄉深溝村尚深路91號","02","一般護理之家","<year=103&class=3>","","03-9220292","03-9220333","http://www.pumen.org.tw/div_3.html","j5600@mail.jen-ai.org.tw","True","","50","5","0",
"禾馨護理之家","新竹縣","竹北市","中華路977巷1號","新竹縣竹北市中華路977巷1號","02","一般護理之家","<year=104&class=2>","","03-5511038","03-5550917","無","無","True","","168","15","0",
"平安護理之家","新竹縣","竹北市","博愛街298巷7號","新竹縣竹北市博愛街298巷7號","02","一般護理之家","<year=102&class=3>","","03-5557188;03-5537221","03-6562986","http://chien-an.myweb.hinet.net/pingan/main_r2.htm","無","True","","60","7","0",
"臺北榮民總醫院新竹分院附設護理之家","新竹縣","竹東鎮","中豐路一段81號","新竹縣竹東鎮中豐路一段81號","02","一般護理之家","<year=104&class=2>","","03-5962134#556","03-5946690","http://www.vhct.gov.tw/index.php?module=DeptInfo&action=about&sn=35","無","True","","100","9","0",
"瑪琍亞護理之家","新竹縣","竹東鎮","北興路二段79之1號","新竹縣竹東鎮北興路二段79之1號","02","一般護理之家","<year=104&class=2>","","03-5956595","03-5933073","無","無","True","","59","8","0",
"國立臺灣大學醫學院附設醫院竹東分院附設護理之家","新竹縣","竹東鎮","至善路52號","新竹縣竹東鎮至善路52號","02","一般護理之家","<year=104&class=3>","","03-5943248","03-5944133","http://www.chut.ntuh.gov.tw/releaseRedirect.do?unitID=1&pageID=330","無","True","","40","6","0",
"富林護理之家","新竹縣","竹東鎮","陸豐里荳子埔5鄰55之9號","新竹縣竹東鎮陸豐里荳子埔5鄰55之9號","02","一般護理之家","<year=104&class=1>","","03-5121857","03-5121856","http://www.fulin.com.tw","service@fulin.com.tw","True","","200","15","0",
"東元綜合醫院附設崇德護理之家","新竹縣","新埔鎮","下寮里義民路3段156巷90弄66號","新竹縣新埔鎮下寮里義民路3段156巷90弄66號","02","一般護理之家","<year=104&class=1>","","03-5882000","03-5888993","http://www.chong-de.com.tw/","chongde66@gmail.com","True","","200","14","0",
"天主教仁慈醫療財團法人附設新竹仁慈護理之家","新竹縣","湖口鄉","忠孝路29號","新竹縣湖口鄉忠孝路29號","02","一般護理之家","<year=104&class=1>","","03-5993500","03-5908816","http://www.mercy.org.tw/?aid=60&pid=42","無","True","","95","9","0",
"大川醫院附設護理之家","苗栗縣","苗栗市","建民街60號1.2.3.樓","苗栗縣苗栗市建民街60號1.2.3.樓","02","一般護理之家","<year=102&class=2>","","037-268618","037-268400","http://www.nh-dachuan.com.tw/","cz123@dachien.com.tw","True","","142","17","0",
"衛生福利部苗栗醫院附設護理之家","苗栗縣","苗栗市","為公路七四七號","苗栗縣苗栗市為公路七四七號","02","一般護理之家","<year=104&class=1>","","037-261920#5191","037-263920","http://www.mil.mohw.gov.tw/serve/nh02.asp","72172@mil.mohw.gov.tw","True","","80","9","0",
"協和醫院附設護理之家","苗栗縣","苗栗市","中正路1367號4-5樓","苗栗縣苗栗市中正路1367號4-5樓","02","一般護理之家","<year=104&class=2>","","037352631","037-323733","無","sheiho0710@yahoo.com.tw","True","","50","5","0",
"李綜合醫療社團法人附設中華護理之家","苗栗縣","苑裡鎮","中華路137號2.3.4樓","苗栗縣苑裡鎮中華路137號2.3.4樓","02","一般護理之家","<year=104&class=2>","","037-853668","037-866086","http://www.leehospital.com.tw/ch/index.asp","leeanh@leehospital.com.tw","True","","75","6","0",
"慈祐醫院附設護理之家","苗栗縣","竹南鎮","民治街17號6樓","苗栗縣竹南鎮民治街17號6樓","02","一般護理之家","<year=104&class=4>","","037-476589#751","037-477178","無","ty851215@yahoo.com.tw","True","","45","9","0",
"安心居護理之家","苗栗縣","頭份鎮","文化街31號","苗栗縣頭份市文化街31號","02","一般護理之家","<year=104&class=1>","","037-593727","037-593428","http://www.axjnh.com.tw/","rcw955068@yahoo.com.tw","True","","42","4","0",
"財團法人為恭紀念醫院附設護理之家","苗栗縣","頭份鎮","仁愛路116號4、5、6樓","苗栗縣頭份市仁愛路116號4、5、6樓","02","一般護理之家","<year=104&class=3>","","037-676828","037-676826","http://www.weigong.org.tw/hospitalized-nursing.html","pei@weigong.org.tw","True","","50","13","0",
"苗栗縣私立宏光護理之家","苗栗縣","頭份鎮","蟠桃里17鄰建國路51號","苗栗縣頭份市蟠桃里17鄰建國路51號","02","一般護理之家","<year=104&class=3>","","037-685082","037-661280","http://685082.com.tw/","hokan@kimo.com","True","","50","4","0",
"私立天春護理之家","苗栗縣","後龍鎮","大山里下大山腳40之7號","苗栗縣後龍鎮大山里下大山腳40之7號","02","一般護理之家","<year=104&class=2>","","037-431818","037-431616","http://www.tcic.tw/","a431818@yahoo.com.tw","True","","75","6","0",
"慈林庭園護理之家","彰化縣","彰化市","彰南路四段300巷8號","彰化縣彰化市彰南路四段300巷8號","02","一般護理之家","<year=104&class=5>","","無","無","http://www.ci-lin-nursinghome.url.tw/","無","True","","72","3","0",
"宜居護理之家","彰化縣","彰化市","彰草路425號3.4樓","彰化縣彰化市彰草路425號3.4樓","02","一般護理之家","<year=104&class=3>","","04-7638877","04-7616062","無","cct.nursing.house@gmail.com","True","","69","7","0",
"春生堂護理之家","彰化縣","彰化市","彰草路425號5.6.7樓","彰化縣彰化市彰草路425號5.6.7樓","02","一般護理之家","<year=103&class=3>","","04-7610455","04-7618491","無","cct.nursing.house@gmail.com","True","","90","5","0",
"信生醫院附設護理之家","彰化縣","彰化市","三民路312號6樓","彰化縣彰化市三民路312號6樓","02","一般護理之家","<year=104&class=4>","","04-7251191","無","無","hua@hsh119.com.tw","True","","21","5","0",
"健馨護理之家","彰化縣","鹿港鎮","鹿西路235巷17號","彰化縣鹿港鎮鹿西路235巷17號","02","一般護理之家","<year=104&class=4>","","04-7762531","04-7761523","http://www.bamahome.com.tw/","xx66699@yahoo.com.tw","True","","98","6","0",
"彰化基督教醫療財團法人附設鹿港基督教護理之家","彰化縣","鹿港鎮","中正路480號","彰化縣鹿港鎮中正路480號","02","一般護理之家","<year=104&class=2>","","04-7779595","無","http://www.rc.cch.org.tw/dpt/layout_5/index.aspx?id=54491","704595@cch.org.tw","True","","68","7","0",
"慈光護理之家","彰化縣","和美鎮","孝文路110號","彰化縣和美鎮孝文路110號","02","一般護理之家","<year=104&class=1>","","04-7573895","無","http://tknh7437.myweb.hinet.net/","無","True","","135","","",
"私立淨元護理之家","南投縣","竹山鎮","社寮里田中巷47-5號","南投縣竹山鎮社寮里田中巷47-5號","02","一般護理之家","<year=104&class=1>","","049-2624101","049-2658646","http://www.淨元護理之家.tw/index.html","a9152162@yahoo.com.tw","True","","99","7","0",
"私立博愛護理之家","南投縣","竹山鎮","延正里江西路27號","南投縣竹山鎮延正里江西路27號","02","一般護理之家","<year=104&class=1>","","049-2658338","049-2632532","http://taiwan.must-go.com.tw/0911107303/Index.asp?ID=3&ID2=1","boai910613@yahoo.com.tw","True","","30","5","0",
"東華醫院附設護理之家","南投縣","竹山鎮","集山路3段272巷16號5樓","南投縣竹山鎮集山路3段272巷16號5樓","02","一般護理之家","<year=104&class=3>","","049-2658600","049-2654288","https://www.facebook.com/東華醫院附設護理之家-1523436751219117/","nch1000501@yahoo.com.tw","True","","49","4","1",
"私立康能護理之家","南投縣","竹山鎮","延正路10-3號","南投縣竹山鎮延正路10-3號","02","一般護理之家","<year=104&class=3>","","049-2654197","049-2651280","https://www.facebook.com/私立康能護理之家-1597637543826913/","kangneng2005@yahoo.com.tw","True","","135","12","0",
"聖恩護理之家","南投縣","竹山鎮","埔頭街76號","南投縣竹山鎮埔頭街76號","02","一般護理之家","<year=104&class=3>","","049-2636369","049-2655509","http://www.2655509.url.tw/","ok2636369@yahoo.com.tw","True","","36","6","0",
"安泰護理之家","南投縣","竹山鎮","下坪路13之68號","南投縣竹山鎮下坪路13之68號","02","一般護理之家","<year=104&class=2>","","049-2632322","049-2636200","http://www.entie.tw/","nurse580730@yahoo.com.tw","True","","99","9","0",
"竹山秀傳醫院附設護理之家","南投縣","竹山鎮","集山路二段75號","南投縣竹山鎮集山路二段75號","02","一般護理之家","<year=104&class=1>","","049-22624266","049-2624366","http://www.csshow.org.tw/new_nursing_home/nursinghome_index.asp","cs2005@csshow.org.tw","True","","45","7","0",
"新泰宜婦幼醫院附設護理之家","南投縣","名間鄉","新街村彰南路571-1號5樓","南投縣名間鄉新街村彰南路571-1號5樓","02","一般護理之家","<year=104&class=3>","","049-2235279","049-2235279","http://mmweb.tw/36415/","susan88299@yahoo.com.tw","True","","36","4","0",
"洪揚醫院附設護理之家","雲林縣","斗六市","文化路138號","雲林縣斗六市文化路138號","02","一般護理之家","<year=103&class=3>","","05-5323039","無","無","greentea640801@yahoo.com.tw","True","","70","7","0",
"安生醫院附設護理之家","雲林縣","斗六市","保庄里保長路498號","雲林縣斗六市保庄里保長路498號","02","一般護理之家","<year=102&class=2>","","05-5353959","無","無","nshome1112@hotmail.com","True","","100","10","2",
"國立成功大學醫學院附設醫院斗六分院附設護理之家","雲林縣","斗六市","莊敬路345號","雲林縣斗六市莊敬路345號","02","一般護理之家","<year=104&class=1>","","05-5332121#3351","無","無","n051023@mail.hosp.ncku.edu.tw","True","","46","7","0",
"國立臺灣大學醫學院附設醫院雲林分院附設護理之家","雲林縣","斗六市","雲林路二段579號","雲林縣斗六市雲林路二段579號","02","一般護理之家","<year=104&class=1>","","05-5323911#2283","無","無","Y00162@msl.ylh.gov.tw","True","","50","13","0",
"天主教若瑟醫療財團法人若瑟醫院附設護理之家","雲林縣","虎尾鎮","新生路74號","雲林縣虎尾鎮新生路74號","02","一般護理之家","<year=104&class=1>","","05-6337333#2355","無","無","ph2272@mail.stjoho.org.tw","True","","40","7","0",
"天主教若瑟醫療財團法人附設若瑟護理之家","雲林縣","虎尾鎮","新生路74號","雲林縣虎尾鎮新生路74號","02","一般護理之家","<year=104&class=1>","","05-6337333#2355","無","無","ph2272@maii.stjoho.org","True","","40","7","0",
"彰化基督教醫療財團法人附設雲林基督教護理之家","雲林縣","西螺鎮","新豐里區場南路375號7樓","雲林縣西螺鎮新豐里市場南路375號7樓","02","一般護理之家","<year=104&class=1>","","05-5871111#2781","無","無","804571@cch.org.tw","True","","200","12","0",
"育仁醫院附設護理之家","雲林縣","西螺鎮","福興里延平路162號","雲林縣西螺鎮福興里延平路162號","02","一般護理之家","<year=104&class=1>","","05-58645740965-392-686","05-5867214","無","Hlmh0101@gmail.com","True","","60","5","0",
"佳佳護理之家","雲林縣","土庫鎮","仁美街1-7、1-9 、1-11號","雲林縣土庫鎮仁美街1-7、1-9 、1-11號","02","一般護理之家","<year=104&class=3>","","05-6628276","05-6628310","無","a6627108@yahoo.com.tw","True","","99","11","1",
"中國醫藥大學北港附設醫院附設護理之家","雲林縣","北港鎮","新德路123號6樓","雲林縣北港鎮新街里新德路123號6樓","02","一般護理之家","<year=104&class=3>","","05- 7837901#6100","無","無","n0219@mail.bh.cmu.edu.tw","True","","40","6","0",
"私立玉妹紀念護理之家","雲林縣","二崙鄉","大同村大同路17之1號","雲林縣二崙鄉大同村大同路17之1號","02","一般護理之家","<year=102&class=3>","","05-5983205","無","無","Eason605@yahoo.com.tw","True","","70","6","0",
"?忠三仁診所附設護理之家","雲林縣","褒忠鄉","中正路466號2-5樓","雲林縣褒忠鄉中正路466號2-5樓","02","一般護理之家","<year=104&class=2>","","05-6973111","無","無","o0963269699@yahoo.com.tw","True","","70","9","1",
"長庚醫療財團法人附設嘉義長庚護理之家","嘉義縣","朴子市","嘉朴路西段6號","嘉義縣朴子市嘉朴路西段6號","02","一般護理之家","<year=102&class=1>","","05-3601000#2400","05-3621000#2797","https://www.facebook.com/search/top/?q=%E9%95%B7%E5%BA%9A%E9%86%AB%E7%99%82%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E9%99%84%E8%A8%AD%E5%98%89%E7%BE%A9%E9%95%B7%E5%BA%9A%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6&init=mag_glass&tas=0.2969879590464676&search_first_focus=1450857650971#!/pages/%E5%98%89%E7%BE%A9%E9%95%B7%E5%BA%9A%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6/533286926756898?fref=ts","hc0401@cgmh.org.tw","True","","70","9","0",
"衛生福利部朴子醫院附設護理之家","嘉義縣","朴子市","永和里42-50號","嘉義縣朴子市永和里42-50號","02","一般護理之家","<year=104&class=3>","","05-3790600","無","https://www.facebook.com/search/top/?q=%E9%95%B7%E5%BA%9A%E9%86%AB%E7%99%82%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E9%99%84%E8%A8%AD%E5%98%89%E7%BE%A9%E9%95%B7%E5%BA%9A%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6&init=mag_glass&tas=0.2969879590464676&search_first_focus=1450857650971#!/puzihmohw/?rf=258485717609269","nur9@puzih.mohw.gov.tw","True","","193","18","0",
"嘉義縣私立長松護理之家","嘉義縣","大林鎮","中正路424-426號","嘉義縣大林鎮中正路424-426號","02","一般護理之家","<year=102&class=3>","","05-2652847","無","https://www.facebook.com/pages/%E9%95%B7%E6%9D%BE%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6/284529021560490?ref=br_rs","longago0104@yahoo.com.tw","True","","56","","",
"嘉義縣私立福興護理之家","嘉義縣","民雄鄉","牛稠溪68-5號","嘉義縣民雄鄉牛稠溪68-5號","02","一般護理之家","<year=103&class=3>","","05-2200800","05-2202454","https://www.facebook.com/search/top/?init=quick&q=%E5%98%89%E7%BE%A9%E7%B8%A3%E7%A7%81%E7%AB%8B%E7%A6%8F%E8%88%88%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6&tas=0.6596931016500942#!/pages/%E7%A6%8F%E8%88%88%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6/100","fnh2200800@yahoo.com.tw","True","","82","","",
"佳霖護理之家","嘉義縣","溪口鄉","疊溪村下員林一二八之一號","嘉義縣溪口鄉疊溪村下員林一二八之一號","02","一般護理之家","<year=104&class=3>","","05-2656631","無","https://www.facebook.com/search/top/?q=%E9%95%B7%E5%BA%9A%E9%86%AB%E7%99%82%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E9%99%84%E8%A8%AD%E5%98%89%E7%BE%A9%E9%95%B7%E5%BA%9A%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6&init=mag_glass&tas=0.2969879590464676&search_first_focus=1450857650971#!/pages/%E4%BD%B3%E9%9C%96%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6/139766226140592","chialin03@yahoo.com.tw","True","","60","5","0",
"長順護理之家","嘉義縣","六腳鄉","正義村占富厝1-2號","嘉義縣六腳鄉正義村占富厝1-2號","02","一般護理之家","<year=102&class=3>","","05-3706930","05-3706935","https://www.facebook.com/search/top/?q=%E9%95%B7%E9%A0%86%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6&init=mag_glass&tas=0.055058875667558904&search_first_focus=1450856094619#!/長順護理之家-358406610919412/","lillian790614@gmail.com","True","","44","6","0",
"嘉義縣私立民生護理之家","嘉義縣","水上鄉","義興村中義路860號","嘉義縣水上鄉義興村中義路860號","02","一般護理之家","<year=102&class=3>","","05-2892259","2891925","https://www.facebook.com/search/top/?q=%E9%95%B7%E9%A0%86%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6&init=mag_glass&tas=0.055058875667558904&search_first_focus=1450856094619#!/pages/%E5%98%89%E7%BE%A9%E6%B0%91%E7%94%9F%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6/1614709302099516?rf=149622861819564","rose0608520@yahoo.com.tw","True","","93","9","0",
"福茂庭園護理之家","嘉義縣","水上鄉","溪州村外溪洲487-10號","嘉義縣水上鄉溪州村外溪洲487-10號","02","一般護理之家","<year=103&class=2>","","05-2600035","05-2600787","https://www.facebook.com/groups/143789429017099/","fm2600035@yahoo.com.tw","True","","143","8","1",
