"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","電話","傳真","單位網址","單位電子信箱",
"國軍退除役官兵輔導委員會中彰榮譽國民之家","彰化縣","彰化市","公園路二段301號","彰化縣彰化市公園路二段301號","2","榮民之家","04-7222187","04-7250707","www.vac.gov.tw/vac_home/zhongzhung/home/index.asp","vdch@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會彰化榮譽國民之家","彰化縣","田中鎮","中南路二段421號","彰化縣田中鎮中南路二段421號","2","榮民之家","04-8747647","04-8756983","www.vac.gov.tw/vac_home/changhua/home/index.asp","vhch1028@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會雲林榮譽國民之家","雲林縣","斗六市","18鄰榮譽路160號","雲林縣斗六市18鄰榮譽路160號","2","榮民之家","05-5324100","05-5375028","www.vac.gov.tw/vac_home/yunlin/home/index.asp","vhyls@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會屏東榮譽國民之家","屏東縣","內埔鄉","100號","屏東縣內埔鄉建興村 100 號","2","榮民之家","08-7701621","08-7704284","www.vac.gov.tw/vac_home/pingtung/home/index.asp","vhpt0009@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會馬蘭榮譽國民之家","臺東縣","臺東市","3鄰更生路1010號","臺東縣臺東市3鄰更生路1010號","2","榮民之家","089-222417","089-223024","www.vac.gov.tw/vac_home/malan/home/index.asp","vhml@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會花蓮榮譽國民之家","花蓮縣","花蓮市","府前路29號","花蓮縣花蓮市府前路29號","2","榮民之家","03-8223111#209","03-8223152","www.vac.gov.tw/vac_home/hualien","vhhl@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會新竹榮譽國民之家","新竹市","北區","崧嶺路 57 巷 41 號","新竹市崧嶺路 57 巷 41 號","2","榮民之家","03-5213292~4","03-5264876","http://www.vac.gov.tw/vac_home/hsinchu/home/index.asp","",
"國軍退除役官兵輔導委員會高雄榮譽國民之家","高雄市","楠梓區","22鄰加昌路631號","高雄市楠梓區22鄰加昌路631號","2","榮民之家","07-3652828#1007","07-3636205","www.vac.gov.tw/vac_home/liazan/home/index.asp","vdtn@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會岡山榮譽國民之家","高雄市","燕巢區","成功路1號","高雄市燕巢區成功路1號","2","榮民之家","07-6161214","07-6166650","www.vac.gov.tw/vac_home/gangshan/home/index.asp","vhks@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會板橋榮譽國民之家","新北市","板橋區","2鄰大觀路二段32號","新北市板橋區2鄰大觀路二段32號","2","榮民之家","02-22755157","02-22752814","www.vac.gov.tw/vacc_home/banchiou/home/index.asp","vhpc@mai15.vac.gov.tw",
"國軍退除役官兵輔導委員會臺北榮譽國民之家","新北市","三峽區","12鄰白雞127號","新北市三峽區12鄰白雞127號","2","榮民之家","02-26731201","02-26732164","www.vac.gov.tw/vac_home/taipei/home/index.asp","Vhtpe1124@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會白河榮譽國民之家","臺南市","白河區","63號","臺南市白河區仙草里 63 號","2","榮民之家","06-6852064","06-6850064","www.vac.gov.tw/vac_home/baihe/home/index.asp","vhph@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會佳里榮譽國民之家","臺南市","七股區","147號","臺南市七股區三股里 147 號","2","榮民之家","06-7880664","06-7881194","http://www.vac.gov.tw/vac_home/jiali/home/index.asp","vacl@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會臺南榮譽國民之家","臺南市","東區","崇明路190號","臺南市東區崇明路190號","2","榮民之家","06-2690418、2690419","06-2881288","www.vac.gov.tw/vac_home/tainan/home/index.asp","vhtn0338@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會八德榮譽國民之家","桃園市","八德區","榮興路1100號","桃園縣八德市榮興路1100號","2","榮民之家","03-3651285","03-3659251","www.vac.gov.tw/vac_home/bade/home/index.asp","vdty@mail5.vac.gov.tw",
"國軍退除役官兵輔導委員會桃園榮譽國民之家","桃園市","八德區","35鄰興豐路1217號","桃園縣八德市35鄰興豐路1217號","2","榮民之家","03-3681140","03-3654351","www.vac.gov.tw/vacc_home/taoyuan/home/index.asp","vhtyu@mail5.vac.gov.tw",
