"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","員工資訊","許可_總床數","護理人員_合計","醫事人員_合計",
"臺北榮民總醫院蘇澳分院附設精神護理之家","宜蘭縣","蘇澳鎮","蘇濱路一段301號","宜蘭縣蘇澳鎮蘇濱路一段301號","2","精神護理之家","<year=103&class=合格>","","03-9905106轉5120","03-9906782","http://www.savh.gov.tw/savh/index.php?module=DeptInfo&action=about&sn=54","jienjn@mail.savh.gov.tw","TRUE","FALSE","50","5","5",
"海天醫療社團法人附設精神護理之家","宜蘭縣","壯圍鄉","古亭路23-9號","宜蘭縣壯圍鄉古亭路23-9號","2","精神護理之家","<year=103&class=合格>","","03-9308010","03-9308021","http://hiten.pixnet.net","hiten@msa.hinet.net","TRUE","FALSE","148","10","10",
"財團法人為恭紀念醫院附設護理之家","苗栗縣","頭份鎮","仁愛路116號4、5、6樓","苗栗縣頭份鎮仁愛路116號4、5、6樓","2","精神護理之家","<year=104&class=合格>","","037-676811轉72700","037-685561","(無)","(無)","TRUE","FALSE","90","7","7",
"明德醫院附設精神護理之家","彰化縣","彰化市","中山路二段874巷33號4樓","彰化縣彰化市中山路二段874巷33號4樓","2","精神護理之家","<year=105&class=合格>","","04-7223138","04-7245273","http://minder-hospital.myweb.hinet.net","minder.chen@msa.hinet.net","TRUE","FALSE","45","4","4",
"迦南精神護理之家","南投縣","埔里鎮","中山路一段182-1號","南投縣埔里鎮中山路一段182-1號","2","精神護理之家","<year=104&class=合格>","","049-2423732","049-2984487","(無)","erica590818@yahoo.com.tw","TRUE","FALSE","150","9","14",
"衛生福利部草屯療養院附設精神護理之家","南投縣","草屯鎮","玉屏路161號","南投縣草屯鎮玉屏路161號","2","精神護理之家","<year=103&class=合格>","","049-2550800轉3731或3732","049-2564184","http://www.ttpc.mohw.gov.tw/?aid=52&pid=110&page_name=detail&iid=91","clhuang@ttpc.mohw.gov.tw","TRUE","FALSE","92","6","6",
"信安醫療社團法人附設進安精神護理之家","雲林縣","斗六市","江厝里瓦厝路159號4樓","雲林縣斗六市江厝里瓦厝路159號4樓","2","精神護理之家","<year=104&class=合格>","","05-5223788轉501或05-5223485","05-5223857","http://www.hsinan.com.tw","b0989775598@gmail.com","TRUE","FALSE","50","4","4",
"國立成功大學醫學院附設醫院斗六分院附設精神護理之家","雲林縣","斗六市","莊敬路345號","雲林縣斗六市莊敬路345號","2","精神護理之家","<year=105&class=合格>","","05-5332121轉3160、3161或3253","(無)","http://d6www.hosp.ncku.edu.tw","(無)","TRUE","FALSE","50","4","4",
"私立大恩精神護理之家","嘉義縣","中埔鄉","和睦村中華路268巷33號","嘉義縣中埔鄉和睦村中華路268巷33號","2","精神護理之家","<year=104&class=合格>","","05-2302088","05-2309299","http://www.mydaen.com","yee940422@yahoo.com.tw","TRUE","FALSE","99","6","7",
"臺中榮民總醫院灣橋分院附設精神護理之家","嘉義縣","竹崎鄉","鹿滿村水景頭16號","嘉義縣竹崎鄉鹿滿村水景頭16號","2","精神護理之家","<year=103&class=合格>","","05-2791072","05-2613373","http://www.vhwc.gov.tw/vhwc/web/02about/04branch_1.htm","(無)","TRUE","FALSE","60","6","6",
"屏安醫院附設精神護理之家","屏東縣","長治鄉","信義三巷5號1樓","屏東縣長治鄉信義三巷5號1樓","2","精神護理之家","<year=103&class=合格>","","08-7622670轉2116","08-7626745","http://www.pingan.url.tw/pinane/b1/index.html","pinanenurs@gmail.com","TRUE","FALSE","99","8","8",
"高雄榮民總醫院屏東分院附設精神科護理之家","屏東縣","內埔鄉","昭勝路安平一巷1號","屏東縣內埔鄉昭勝路安平一巷1號","2","精神護理之家","<year=104&class=合格>","","08-7704115轉221或226","08-7708529或08-7708447","http://www.vhlc.gov.tw/","slu8832061@mail.vhlc.gov.tw","TRUE","FALSE","50","4","4",
"臺北榮民總醫院玉里分院附設精神護理之家","花蓮縣","玉里鎮","長良里忠義34號","花蓮縣玉里鎮長良里忠義34號","2","精神護理之家","<year=105&class=合格>","","03-8801101轉521或03-8801080","03-8881242","http://www.vhyl.gov.tw/web/02about/04part_3.htm","nh@vhyl.gov.tw","TRUE","FALSE","266","15","17",
"國軍花蓮總醫院附設民眾診療服務處附設精神護理之家","花蓮縣","新城鄉","嘉里村嘉里路163號","花蓮縣新城鄉嘉里村嘉里路163號","2","精神護理之家","<year=104&class=合格>","","03-8263151","03-8262205","http://805.mnd.gov.tw","pnh@mail.h805.mnd.gov.tw","TRUE","FALSE","130","7","7",
"臺灣基督教門諾會醫療財團法人附設門諾精神護理之家","花蓮縣","壽豐鄉","共和村魚池52號","花蓮縣壽豐鄉共和村魚池52號","2","精神護理之家","<year=104&class=合格>","","03-8664600轉2217或2218","03-8664689","http://www.mch.org.tw","charyya520@mch.org.tw","TRUE","FALSE","14","4","4",
"衛生福利部玉里醫院溪口精神護理之家","花蓮縣","壽豐鄉","溪口村中山路一段50號","花蓮縣壽豐鄉溪口村中山路一段50號","2","精神護理之家","<year=103&class=合格>","","03-8651272","03-8650446","http://www.ttyl.mohw.gov.tw","ttyl@ttyl.mohw.gov.tw","TRUE","FALSE","600","18","22",
"臺中榮民總醫院嘉義分院附設精神護理之家","嘉義市","西區","劉厝里6鄰博愛路二段850號","嘉義市西區劉厝里6鄰博愛路二段850號","2","精神護理之家","<year=103&class=合格>","","05-2359630轉6711或6712","(無)","http://www.vhcy.gov.tw/vhcy/index.php?module=DeptInfo&action=about&sn=157","pn1@vghtc.gov.tw","TRUE","FALSE","44","5","5",
