"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","電話","傳真","單位網址","單位電子信箱",
"連江縣大同之家","連江縣","南竿鄉","131號","連江縣南竿鄉131號","2","日間照顧服務","0836-22033","0836-22152","http://www.mtcsch.gov.tw/","matsu22033@gmail.com",
"金門縣蘭湖日間照顧中心","金門縣","金湖鎮","瓊徑路35號2樓","金門縣金湖鎮瓊徑路35號2樓","2","日間照顧服務","082-330870","無","無","",
"金門縣西方日間照顧中心","金門縣","烈嶼鄉","西口村6-6號","金門縣烈嶼鄉西口村6-6號","2","日間照顧服務","082-364846","無","無","",
"財團法人宜蘭縣私立宏仁老人長期照顧中心附設德仁日間照顧中心","宜蘭縣","宜蘭市","新興路212號3樓","宜蘭縣宜蘭市新興路212號3樓","2","日間照顧服務","無","無","無","",
"宜蘭縣失智症照顧服務協會附設松柏失智日間照顧中心","宜蘭縣","宜蘭市","和睦路20號","宜蘭縣宜蘭市和睦路20號","2","日間照顧服務","03-9330518","03-9314465","無","",
"財團法人天主教靈醫修女會附設宜蘭縣私立瑪利亞日間照顧中心","宜蘭縣","羅東鎮","北成路一段19號","宜蘭縣羅東鎮北成路一段19號","2","日間照顧服務","無","無","無","",
"財團法人宜蘭縣私立蘭陽仁愛之家附設佛光仁愛日間照顧中心","宜蘭縣","礁溪鄉","龍泉路31號","宜蘭縣礁溪鄉龍泉路31號","2","日間照顧服務","無","無","無","",
"宜蘭縣社區照顧促進會附設心安居長者日間照顧中心","宜蘭縣","壯圍鄉","中央路二段265號","宜蘭縣壯圍鄉中央路二段265號","2","日間照顧服務","無","無","無","",
"財團法人天主教靈醫會附設宜蘭縣私立聖嘉民日間照顧中心","宜蘭縣","三星鄉","三星路二段103號","宜蘭縣三星鄉三星路二段103號","2","日間照顧服務","03-9898806#111","03-9898022","無","",
"財團法人台灣省天主教新竹教區(竹北日照中心)","新竹縣","竹北市","福興東路一段365號","新竹縣竹北市福興東路一段365號","2","日間照顧服務","03-5500797 #311","03-5503970","http://www.jbec.org/index.php/2013-11-28-07-16-25","manager@jbec.org",
"新竹縣蒲公英關懷弱勢權益促進協會","新竹縣","竹北市","新泰路92號2樓","新竹縣竹北市新泰路92號2樓","2","日間照顧服務","03-5551096","03-5551097","Facebook.com/hsinchudandelion","P5551097@gmail.com",
"財團法人新竹縣天主教世光教養院辦理新埔日照中心","新竹縣","新埔鎮","新關路五埔段183號","新竹縣新埔鎮新關路五埔段183號","2","日間照顧服務","03-5882329","03-5882379","http://www.shihguang.org.tw","shihguang@xuite.net",
