"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","電話","傳真","單位網址","單位電子信箱",
"財團法人愚人之友社會福利慈善事業基金會","南投縣","埔里鎮","鐵山路6號","南投縣埔里鎮鐵山路6號","2","日間照顧服務,家庭托顧服務,失智症老人團體家屋,居家服務","049-2918500#11/31","049-2915297","http://www.qif.org.tw/B-index.asp","qif@mail.pch.org.tw",
"社團法人雲林縣老人福利保護協會","雲林縣","斗六市","虎溪路23-1號","雲林縣斗六市虎溪路23-1號","2","日間照顧服務,家庭托顧服務","05-5516286","05-5517539","http://www.carefamily.org.tw","oldmman@ms33.hinet.net",
"戴德森醫療財團法人嘉義基督教醫院","嘉義市","西區","自由路426號","嘉義市西區自由路426號","2","日間照顧服務,家庭托顧服務,居家服務","05-2348836","05-2348835","http://www.cychhome.org.tw/","cychhome@gmail.com",
"財團法人伊甸社會福利基金會","臺北市","北投區","裕民六路120號3樓C棟","臺北市北投區裕民六路120號3樓C棟","2","家庭托顧服務","02-28210320#109","02-28210592","http://www.eden.org.tw/contact_service_detail.php?team_id=6&service_id=7","dep130@mail.eden.org.tw",
"財團法人老五老基金會","臺中市","北屯區","松山街79號","臺中市北屯區松山街79號","2","家庭托顧服務,居家服務","04-22463927#56","04-22463947","http://www.ofo.org.tw/","w273@ofo.org.tw",
"財團法人中華社會福利基金會","臺中市","西屯區","文心路三段237號4樓","臺中市西屯區文心路三段237號4樓","2","家庭托顧服務","049-2316731","049-2315319","無","red.r286@msa.hinet.net",
"有限責任台南市照顧服務勞動合作社","臺南市","安平區","平通路61號","台南市安平區平通路61號","2","家庭托顧服務,居家喘息","06-2937250","06-2958212","無","care.service@msa.hinet.net",
"有限責任高雄市安祥照顧服務勞動合作社","高雄市","鳳山區","大東一路113號","高雄市鳳山區大東一路113號","2","家庭托顧服務,居家服務","07-7902768","07-7902896","http://anxiangcare.com/","caregiv.living@gmail.com",
"社團法人培德關懷協進會","宜蘭縣","羅東鎮","純精路3段32號1樓","宜蘭縣羅東鎮純精路3段32號1樓","2","家庭托顧服務","03-9651500","03-9651503","http://xn--2js03pnzbj47g.xn--kpry57d/c8.php","pei.de.ca@gmail.com",
"社團法人南投縣家庭照顧者關懷協會","南投縣","南投市","民族路5號","南投縣南投市民族路5號","2","家庭托顧服務","049-2248595","049-2201746","http://ntfamilycare.myweb.hinet.net/index.html","a8169a@yahoo.com.tw",
"中華民國紅十字會台灣省南投縣支會","南投縣","南投市","嶺興路68號","南投縣南投市嶺興路68號","2","家庭托顧服務,居家服務","049-2242783","049-2247822","http://www.redcross.org.tw/","sh09829@yahoo.com.tw",
"社團法人南投縣基督教青年會","南投縣","草屯鎮","和興街55號3樓","南投縣草屯鎮和興街55號3樓","2","家庭托顧服務,居家服務","049-2306456","049-2365336","http://www.nantou-ymca.org.tw/","hsuyuthih@nantou-ymca.org.tw",
"雲林縣口湖鄉老人福利協進會","雲林縣","口湖鄉","福安路91號","雲林縣口湖鄉福安路91號","2","家庭托顧服務","05-7724520","05-7993141","無","san701112@hotmail.com",
"財團法人介惠社會福利慈善基金會","屏東縣","屏東市","和生路一段18號","屏東縣屏東市和生路一段18號","2","家庭托顧服務,居家服務","08-7214109","08-7213794","http://www.jhf.org.tw/","jiehhuey@jhf.org.tw",
"社團法人澎湖縣照顧服務協會","澎湖縣","馬公市","新復里介壽路7-1號","澎湖縣馬公市新復里介壽路7-1號","2","家庭托顧服務,居家服務","06-9274927","06-9268408","http://www.phcs.artcom.tw/ap/index.aspx","phcs20030127@gmail.com",
"有限責任花蓮縣原住民第二照顧服務勞動合作社","花蓮縣","吉安鄉","中山路1段64-1號","花蓮縣吉安鄉中山路1段64-1號","2","家庭托顧服務","03-8546785","03-8542930","無","second.care@hinet.net",
"財團法人老五老基金會","新竹市","東區","安康街5巷1號4樓","新竹市東區安康街5巷1號4樓","2","家庭托顧服務","03-5794009","03-5777148","http://www.ofo.org.tw/","yoye1029@ofo.org.tw",
"天主教花蓮教區醫療財團法人台東聖母醫院","臺東縣","臺東市","杭州街2號","台東縣台東市杭州街2號","2","日間照顧服務,家庭托顧服務","089-322833#200","089-321990","http://www.st-mary.org.tw/index.php","day-care@st-mary.org.tw",
