"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","服務區域","電話","傳真","單位網址","單位電子信箱",
"連江縣政府(自辦)","連江縣","南竿鄉","156號","連江縣南竿鄉156號","2","居家服務","連江縣","0836-25022#305","0836-22995","無","a1042@ems.matau.gov.tw",
"金門縣政府(自辦)","金門縣","金城鎮","民生路60號","金門縣金城鎮民生路60號","2","居家服務","金門縣","082-323077","無","無","",
"伊甸社會福利基金會宜蘭分事務所","宜蘭縣","宜蘭市","舊城西路12號2樓","宜蘭縣宜蘭市舊城西路12號2樓","2","居家服務","宜蘭縣頭城,宜蘭縣壯圍,宜蘭縣礁溪,宜蘭縣羅東,宜蘭縣三星,宜蘭縣蘇澳,宜蘭縣冬山,宜蘭縣五結,宜蘭縣員山,宜蘭縣宜蘭,宜蘭縣大同","03-9333676","03-9333575","無","",
"財團法人一粒麥子社會福利慈善基金會","宜蘭縣","宜蘭市","公園路497巷20號","宜蘭縣宜蘭市公園路497巷20號","2","居家服務","宜蘭縣頭城,宜蘭縣壯圍,宜蘭縣礁溪,宜蘭縣羅東,宜蘭縣三星,宜蘭縣蘇澳,宜蘭縣冬山,宜蘭縣五結,宜蘭縣員山,宜蘭縣宜蘭,宜蘭縣大同","03-9252433","03-9252531","無","",
"社團法人宜蘭縣社區照顧促進會","宜蘭縣","宜蘭市","中央路二段265號","宜蘭縣宜蘭市中央路二段265號","2","居家服務","宜蘭縣頭城,宜蘭縣壯圍,宜蘭縣礁溪,宜蘭縣羅東,宜蘭縣三星,宜蘭縣蘇澳,宜蘭縣冬山,宜蘭縣五結,宜蘭縣員山,宜蘭縣宜蘭,宜蘭縣大同","03-9381371","03-9381371","無","",
"財團法人天主教靈醫修女會附設宜蘭縣私立瑪利亞長期照護中心","宜蘭縣","羅東鎮","北城路一段17號","宜蘭縣羅東鎮北城路一段17號","2","居家服務","宜蘭縣羅東,宜蘭縣三星","03-9512060","03-9518775","無","",
"財團法人宜蘭縣私立天主教弘道仁愛之家","宜蘭縣","南澳鄉","蘇花路二段251號","宜蘭縣南澳鄉蘇花路二段251號","1","居家服務,安養服務","宜蘭縣南澳","?03-9981059","?03-9982325","http://www.hungdao.org.tw","?hung.dao@msa.hinet.net",
"中華民國紅十字會台灣省新竹縣支會","新竹縣","竹北市","光明六路10號B1","新竹縣竹北市光明六路10號B1","2","居家服務","新竹縣竹北市,新竹縣新豐鄉,新竹縣湖口鄉,新竹縣寶山鄉","03-5557992","03-5530934","無","",
"新仁醫院","新竹縣","竹北市","博愛街331號","新竹縣竹北市博愛街331號","2","居家服務","新竹縣新豐,新竹縣竹北,新竹縣寶山","03-5552039#819","03-5553107","無","aag0322@msn.com",
"財團法人台灣省天主教會新竹教區附設新竹縣私立長安老人養護中心","新竹縣","竹東鎮","長安路130號","新竹縣竹東鎮長安路130號","2","居家服務","新竹縣芎林鄉,新竹縣橫山鄉,新竹縣尖石鄉,新竹縣竹東鎮北區十二里","03-5943987","03-5954472","http://www.chang-an.org.tw/","changan.sw@msa.hinet.net",
"社團法人新竹縣群英公益發展協會","新竹縣","竹東鎮","東峰路375號","新竹縣竹東鎮東峰路375號","2","居家服務","第四區-新竹縣芎林鄉,新竹縣橫山鄉,新竹縣尖石鄉,竹東鎮北區十二里（含新竹縣員山,新竹縣頭重,新竹縣二重,新竹縣柯湖,新竹縣三重,新竹縣五豐,新竹縣陸豐,新竹縣忠孝,新竹縣榮華,新竹縣仁愛,新竹縣竹東,新竹縣雞林）","03-5951330","03-5951630","無","elderly.care＠msa.hinet.net",
"新竹縣禾意關懷協會","新竹縣","新埔鎮","仁屋一街10鄰57號","新竹縣新埔鎮仁屋一街10鄰57號","2","居家服務","新竹縣新埔鎮,新竹縣關西鎮","03-5886158","03-5895528","http://www.kmt081.url.tw/index.html","kmt081@yahoo.com.tw",
"新竹縣照顧服務人員協會","新竹縣","峨眉鄉","峨眉街71號","新竹縣峨眉鄉峨眉街71號","2","居家服務","峨眉鄉竹東鎮北埔鄉五峰鄉","03-5800303","03-5809125","無","thw09154231@gmail.com",
"衛生福利部苗栗醫院","苗栗縣","苗栗市","為公路747號","苗栗縣苗栗市為公路747號","2","居家服務","苗栗縣苗栗市,苗栗縣南庄鄉,苗栗縣獅潭鄉","037-261920#1164                        ","無","無","81178@mil.mohw.gov.tw",
"財團法人苗栗縣私立幼安教養院","苗栗縣","苗栗市","17鄰105號","苗栗縣苗栗市17鄰105號","2","居家服務","苗栗縣竹南鎮,苗栗縣頭份鎮,苗栗縣三灣鄉","037-338885                                                                ","037-364532","無","yuanhc420@gmail.com",
"財團法人苗栗縣私立大千社會福利慈善事業基金會","苗栗縣","苗栗市","大同路151號3樓","苗栗縣苗栗市大同路151號3樓","2","居家服務","苗栗縣公館鄉,苗栗縣銅鑼鄉,苗栗縣大湖鄉,苗栗縣三義鄉,苗栗縣卓蘭鎮,苗栗縣泰安鄉","037-269938                               ","無","無","f448@dachien.com.tw",
"有限責任苗栗縣博愛照顧服務勞動合作社","苗栗縣","苗栗市","經國路四段79號","苗栗縣苗栗市經國路四段79號","2","居家服務","苗栗縣西湖鄉,苗栗縣後龍鎮,苗栗縣頭屋鄉,苗栗縣造橋鄉","037-366339                                      ","無","無","hy@icrctw.com",
"財團法人切膚之愛社會福利慈善事業基金會","彰化縣","彰化市","博愛街53巷85號","彰化縣彰化市博愛街53巷85號","2","居家服務","彰化縣花壇鄉,彰化縣秀水鄉,彰化縣大村鄉","04-7238595#4543/4542","04-7237673","http://www2.cch.org.tw/sgwlf/index.html","392148@cch.org.tw",
"財團法人老五老基金會","彰化縣","鹿港鎮","忠孝路403號3樓","彰化縣鹿港鎮忠孝路403號3樓","2","日間照顧服務,居家服務","彰化縣鹿港鎮,彰化縣和美鎮,彰化縣福興鄉,彰化縣伸港鄉,彰化縣線西鄉,彰化縣秀水鄉","04-7841455","04-7841453","http://www.ofo.org.tw/","jh@ofo.org.tw",
"財團法人弘道老人福利基金會","彰化縣","福興鄉","福建路286號","彰化縣福興鄉福建路286號","2","居家服務","彰化縣福興鄉","04-7777562","04-7777561","http://www.hondao.org.tw/","jh-hondao@hondao.org.tw",
"財團法人彰化縣私立葳群公益慈善事業基金會","彰化縣","永靖鄉","永福路二段218號","彰化縣永靖鄉永福路二段218號","2","居家服務","彰化縣員林市,彰化縣永靖鄉,彰化縣埔心鄉,彰化縣田尾鄉,彰化縣北斗鎮,彰化縣社頭鄉","04-8235699","04-8230799","無","weichunfoundation@yahoo.com.tw ",
"財團法人彰化縣私立珍瑩老人養護中心","彰化縣","社頭鄉","山腳路二段726巷23號","彰化縣社頭鄉山腳路二段726巷23號","2","居家服務","彰化縣田中鎮,彰化縣二水鄉,彰化縣溪州鄉,彰化縣埤頭鄉","04-8739767","04-8723693","無","jy8720177@yahoo.com.tw",
"彰化縣私立慈恩老人養護中心","彰化縣","二林鎮","光復路61巷20號","彰化縣二林鎮光復路61巷20號","2","居家服務","彰化縣二林鎮,彰化縣溪湖鎮,彰化縣埔鹽鄉,彰化縣竹塘鄉,彰化縣芳苑鄉,彰化縣大城鄉","04-8681199","04-8681379","http://www.caress.org.tw/","a8681199@yahoo.com.tw",
"介惠基金會","彰化縣","芳苑鄉","漁港六路38號","彰化縣芳苑鄉王功村漁港六路38號","2","居家服務","彰化縣溪湖鎮,彰化縣二林鎮,彰化縣埔鹽鄉,彰化縣芳苑鄉,彰化縣大城鄉,彰化縣竹塘鄉","04-8967507","","","",
"財團法人南投縣私立南投仁愛之家","南投縣","南投市","民族路617號","南投縣南投市民族路617號","2","居家服務","南投縣南投市,南投縣名間鄉,南投縣中寮鄉,南投縣草屯鎮","049-2222151","049-2203711","http://www.ntrah.org.tw/ap/index.aspx","abcde.a222151@msa.hinet.net",
"社團法人南投縣家庭照顧者關懷協會","南投縣","南投市","民族路5號2樓","南投縣南投市民族路5號2樓","2","居家服務","南投縣南投市,南投縣名間鄉,南投縣竹山鎮,南投縣鹿谷鄉","049-2248595","049-2201746","無","a8169a@yahoo.com.tw",
"財團法人伊甸社會福利基金會","南投縣","南投市","信義街5巷1號3樓","南投縣南投市信義街5巷1號3樓","2","居家服務","南投縣中寮鄉,南投縣草屯鎮,南投縣南投市,南投縣名間鄉","049-2220071","049-2245847","無","eden158a@yahoo.com.tw",
"南投縣樂齡生活關懷協會","南投縣","南投市","信義街146-1號","南投縣南投市信義街146-1號","2","居家服務","南投縣南投市,南投縣名間鄉,南投縣竹山鎮,南投縣鹿谷鄉","049-2230350","049-2207869","無","nantou885@gmail.com",
"中華民國紅十字會台灣省南投縣支會","南投縣","南投市","嶺興路68號","南投縣南投市嶺興路68號","2","家庭托顧服務,居家服務","南投縣南投市,南投縣名間鄉","049-2242783","049-2247822","http://www.redcross.org.tw/","sh09829@yahoo.com.tw",
"財團法人老五老基金會","南投縣","埔里鎮","博愛路37號","南投縣埔里鎮博愛路37號","2","居家服務","南投縣埔里鎮,南投縣魚池鄉,南投縣信義鄉,南投縣國姓鄉,南投縣仁愛鄉,南投縣水里鄉","049-2997375","049-2421107","http://www.ofo.org.tw/","pl@ofo.org.tw ",
"財團法人愚人之友社會福利慈善事業基金會","南投縣","埔里鎮","鐵山路6號","南投縣埔里鎮鐵山路6號","2","日間照顧服務,家庭托顧服務,失智症老人團體家屋,居家服務","南投縣埔里鎮,南投縣國姓鄉,南投縣魚池鄉,南投縣水里鄉,南投縣集集鎮,南投縣信義鄉,南投縣仁愛鄉","049-2918500#11/31","049-2915297","http://www.qif.org.tw/B-index.asp","qif@mail.pch.org.tw",
"社團法人南投縣基督教青年會","南投縣","草屯鎮","和興街55號3樓","南投縣草屯鎮和興街55號3樓","2","家庭托顧服務,居家服務","南投縣南投市,南投縣草屯鎮,南投縣中寮鄉","049-2306456","049-2365336","http://www.nantou-ymca.org.tw/","hsuyuthih@nantou-ymca.org.tw",
"社團法人南投縣社區家庭支援協會","南投縣","竹山鎮","中山路1-61號","南投縣竹山鎮中山路1-61號","2","居家服務","南投縣竹山鎮,南投縣鹿谷鄉","049-2647906","049-2645602","無","ntcfsa@gmail.com",
