"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","服務區域","電話","傳真","單位網址","單位電子信箱","護理人員_合計","照護服務員_合計",
"連江縣衛生局自辦","連江縣","南竿鄉","216號","連江縣南竿鄉216號","2","居家喘息","連江縣南竿鄉","0836-22095","0836-26530","無","","0","0",
"金門縣衛生局","金門縣","金湖鎮","中正路1-1號4樓","金門縣金湖鎮中正路1-1號4樓","2","居家喘息","金門縣","082-334228","082-335114","無","Y15678d@yahoo.com.tw","0","0",
"有限責任新竹縣禾意照顧服務勞動合作社","新竹縣","新埔鎮","仁屋一街57號","新竹縣新埔鎮仁屋一街57號","2","居家喘息","新竹市","03-5886158","03-5895528","http://www.kmt081.url.tw/","kmt081@yahoo.com.tw","0","0",
"新竹縣社區學習照顧服務協會","新竹縣","湖口鄉","17鄰勝利路2段128號","新竹縣湖口鄉17鄰勝利路2段128號","2","居家喘息","新竹縣湖口鄉","03-5987049","03-5971638","無","a5987049@yahoo.com.tw","1","3",
"財團法人苗栗縣私立幼安教養院","苗栗縣","苗栗市","17鄰新英105號","苗栗縣苗栗市17鄰新英105號","2","居家喘息","苗栗縣苗栗市","037-338885","037-364532","http://www.yuan.org.tw/","yuanhc420@gmail.com","","",
"苗栗縣原住民居家照護關懷服務協會","苗栗縣","苗栗市","北安街195號3樓之1","苗栗縣苗栗市北安街195號3樓之1","2","居家喘息","苗栗縣泰安鄉","0912-365397","無","無","weina0725@yahoo.com.tw","0","3",
"彰化縣私立寶祥老人長期照護中心","彰化縣","彰化市","11鄰中山路二段605號3樓之2~3","彰化縣彰化市11鄰中山路二段605號3樓之2~3","2","居家喘息","彰化縣彰化市,彰化縣和美鎮,彰化縣伸港鄉,彰化縣線西鄉,彰化縣員林市,彰化縣大村鄉,彰化縣埔心鄉,彰化縣永靖鄉,彰化縣田尾鄉,彰化縣秀水鄉,彰化縣社頭鄉,彰化縣田中鎮,彰化縣二水鄉,彰化縣北斗鎮,彰化縣溪州鄉,彰化縣埤頭鄉,彰化縣竹塘鄉,彰化縣鹿港鎮,彰化縣福興鄉,彰化縣埔鹽鄉,彰化縣溪湖鎮,彰化縣二林鎮,彰化縣芳苑鄉,彰化縣大城鄉","04-7290005#6","04-7290003","http://pqpq5200.myweb.hinet.net/GB/bao/index.htm","SD370040@yahoo.com.tw","0","0",
"彰化縣私立吉祥老人養護中心","彰化縣","彰化市","光復路25號","彰化縣彰化市光復路25號","2","居家喘息","彰化縣和美鎮,彰化縣彰化市,彰化縣鹿港鎮,彰化縣秀水鄉,彰化縣花壇鄉","04-7299727","04-7299726","http://pqpq5200.myweb.hinet.net/GB/bao/index.htm","SD370040@yahoo.com.tw","","",
"財團法人切膚之愛社會福利慈善事業基金會","彰化縣","彰化市","南校街135號","彰化縣彰化市南校街135號","2","居家喘息","彰化縣彰化市,彰化縣和美鎮,彰化縣芬園鄉,彰化縣花壇鄉,彰化縣伸港鄉,彰化縣線西鄉","04-7238595#1053、1054","04-7237673","http://www2.cch.org.tw/sgwlf/index.html","392148@cch.org.tw","","",
"有限責任彰化縣祐安照顧服務勞動合作社","彰化縣","彰化市","延和街52號","彰化縣彰化市延和街52號","2","居家喘息","彰化縣彰化市,彰化縣和美鎮,彰化縣芬園鄉,彰化縣花壇鄉,彰化縣伸港鄉,彰化縣線西鄉","04-7112596","無","無","無","","",
"崇愛長期照護中心","彰化縣","彰化市","金馬路3段912號","彰化縣彰化市金馬路3段912號","2","居家喘息","彰化縣彰化市,彰化縣和美鎮,彰化縣芬園鄉,彰化縣花壇鄉,彰化縣伸港鄉,彰化縣線西鄉","04-7626956","04-7515475","無","無","","",
"彰化縣白玉功德會","彰化縣","員林鎮","至平街50巷39號","彰化縣員林鎮至平街50巷39號","2","居家喘息","彰化縣彰化市,彰化縣員林鎮,彰化縣大村鄉,彰化縣花壇鄉,彰化縣社頭鄉,彰化縣埔心鄉,彰化縣永靖鄉,彰化縣田尾鄉","04-8378009","04-8378018","https://www.facebook.com/show.lau.lan","palyu1520@gmail.com","1","0",
