"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","服務區域","電話","傳真","單位網址","單位電子信箱","護理人員_合計","醫事人員_合計",
"連江縣立醫院附設居家護理所","連江縣","南竿鄉","217號","連江縣南竿鄉復興村217號","2","居家護理","連江縣南竿鄉","0836-23995","0836-22155","http://www.matsuh.gov.tw/","service@matsuh.gov.tw","1","0",
"連江縣北竿衛生所附設居家護理所","連江縣","北竿鄉","塘岐村25號","連江縣北竿鄉塘岐村25號","2","居家護理","連江縣北竿鄉","0836-55592","0836-56079","無","cherie0728@matsuhb.gov.tw","1","0",
"連江縣莒光鄉東莒衛生所附設居家護理所","連江縣","莒光鄉","30-1號","連江縣莒光鄉大坪村30-1號","2","居家護理","連江縣莒光鄉,連江縣東莒鄉","0836-89038","0836-89005","無","l88100@matsuhb.gov.tw","1","0",
"金門縣金沙鎮衛生所附設居家護理所","金門縣","金沙鎮","三民路16號","金門縣金沙鎮三民路16號","2","居家護理","金門縣金沙鎮","082-352854","082-352099","http://kis-jmh.mohw.gov.tw/pub/LIT_6.asp","tri880212@yahoo.com.tw","0","1",
"衛生福利部金門醫院附設居家護理所","金門縣","金湖鎮","復興路2號","金門縣金湖鎮復興路2號","2","居家護理","金門縣","082-332546#410","082-331809","http://www.kmhp.mohw.gov.tw/","yucho@kmhp.mosw.gov.tw","0","2",
"金寧鄉衛生所附設居家護理所","金門縣","金寧鄉","2-1號","金門縣金寧鄉2-1號","2","居家護理","金門縣金寧鄉","082-325735","無","http://kig-jmh.mohw.gov.tw/pub/LIT_6.asp","sumay1231@gmail.com","0","1",
"財團法人蘭陽仁愛醫院附設居家護理所","宜蘭縣","宜蘭市","中山路二段260號","宜蘭縣宜蘭市中山路二段260號","2","居家護理","宜蘭縣","03-9321888#1338","03-9324271","無","j1630@mail.jen-ai.org.tw","5","3",
"國立陽明大學附設醫院居家護理所","宜蘭縣","宜蘭市","新民路152號","宜蘭縣宜蘭市新民路152號","2","居家護理","宜蘭縣","03-9325192#3271","03-9354210","無","11230@ymuh.ym.edu.tw","6","5",
"宜蘭縣宜蘭市衛生所附設居家護理所","宜蘭縣","宜蘭市","復興路一段3號","宜蘭縣宜蘭市復興路一段3號","2","居家護理","宜蘭縣宜蘭市","03-9322362","03-9359754","http://yil.ilshb.gov.tw/","ilanmed@mail.e-land.gov.tw","1","1",
"仁里居家護理所","宜蘭縣","宜蘭市","宜興路一段29巷13號","宜蘭縣宜蘭市宜興路一段29巷13號","2","居家護理","宜蘭縣宜蘭市","無","無","無","","","",
"財團法人羅許基金會羅東博愛醫院附設居家護理所","宜蘭縣","羅東鎮","南昌街81號","宜蘭縣羅東鎮南昌街81號","2","居家護理","宜蘭縣羅東鎮,宜蘭縣五結鄉,宜蘭縣冬山鄉,宜蘭縣三星鄉,宜蘭縣蘇澳鎮,宜蘭縣員山鄉,宜蘭縣宜蘭市,宜蘭縣礁溪鄉,宜蘭縣壯圍鄉","03-9543131#5246","03-9556693","http://www.pohai.org.tw/","ltc@mail.pohai.org.tw","4","4",
"永晴居家護理所","宜蘭縣","羅東鎮","光榮路413,415號4樓","宜蘭縣羅東鎮光榮路413,415號4樓","2","居家護理","宜蘭縣宜蘭市,台北市,新北市","03-9559910","03-9558345","無","Ling660803@yahoo.com.tw","4","2",
"全心居家護理所","宜蘭縣","羅東鎮","維揚路136號","宜蘭縣羅東鎮維揚路136號","2","居家護理","宜蘭縣羅東鎮,宜蘭縣冬山鄉,宜蘭縣三星鄉,宜蘭縣五結鄉","03-9510789#703","03-9611468","無","pig530pink@yahoo.com.tw","1","1",
"醫療財團法人羅許基金會羅東博愛醫院附設居家護理所","宜蘭縣","羅東鎮","南昌街81號","宜蘭縣羅東鎮南昌街81號","2","居家護理","宜蘭縣羅東鎮,宜蘭縣五結鄉,宜蘭縣冬山鄉,宜蘭縣三星鄉,宜蘭縣蘇澳鎮,宜蘭縣員山鄉,宜蘭縣宜蘭市,宜蘭縣礁溪鄉,宜蘭縣壯圍鄉","03-9543131#5246","03-9556693","http://www.pohai.org.tw/","ltc@mail.pohai.org.tw","4","4",
"天主教靈醫會羅東聖母醫院附設居家護理所","宜蘭縣","羅東鎮","中正南路160號","宜蘭縣羅東鎮中正南路160號","2","居家護理","宜蘭縣(大同鄉,南澳鄉除外)","03-9564080","03-9544106#3220","www.smh.org.tw/hnc/hnc1.htm","smh02847@smh.org.tw,hnc6108@smh.org.tw","6","4",
"臺北榮民總醫院蘇澳分院附設居家護理所","宜蘭縣","蘇澳鎮","蘇濱路一段301號","宜蘭縣蘇澳鎮蘇濱路一段301號","2","居家護理","宜蘭縣","03-9905106","03-9908678","http://www.savh.gov.tw/savh/index.php?module=DeptInfo&action=about&sn=48","hc@mail.savh.gov.tw","2","3",
"宜蘭縣宜蘭縣頭城鎮衛生所附設居家護理所","宜蘭縣","頭城鎮","吉祥路15號","宜蘭縣頭城鎮吉祥路15號","2","居家護理","宜蘭縣頭城鎮","03-9771034","03-9776445","http://tou.ilshb.gov.tw/","toh-ylh@mail.e-land.gov.tw","2","1",
"宜蘭縣頭城鎮衛生所附設居家護理所","宜蘭縣","頭城鎮","吉祥路15號","宜蘭縣頭城鎮吉祥路15號","2","居家護理","宜蘭縣頭城鎮","03-9771034","03-9776445","http://tou.ilshb.gov.tw/","toh-ylh@mail.e-land.gov.tw","2","1",
"宜蘭縣礁溪鄉衛生所附設居家護理所","宜蘭縣","礁溪鄉","礁溪路四段126號B1","宜蘭縣礁溪鄉礁溪路四段126號B1","2","居家護理","宜蘭縣礁溪鄉","03-9882908","03-9870720","http://jia.ilshb.gov.tw/","3405@mail.e-land.gov.tw","1","1",
"宜蘭縣宜蘭縣礁溪鄉衛生所附設居家護理所","宜蘭縣","礁溪鄉","礁溪路四段126號B1","宜蘭縣礁溪鄉礁溪路四段126號B1","2","居家護理","宜蘭縣礁溪鄉","03-9882908","03-9870720","http://jia.ilshb.gov.tw/","3405@mail.e-land.gov.tw","1","1",
"財團法人宜蘭縣私立竹林養護院附設居家護理所","宜蘭縣","礁溪鄉","六結路151號","宜蘭縣礁溪鄉六結路151號","2","居家護理","宜蘭縣礁溪鄉,宜蘭縣頭城鎮","03-9889357","03-9874665","無","juli.nu@msa.hinet.net","1","1",
"宜蘭縣壯圍鄉衛生所附設居家護理所","宜蘭縣","壯圍鄉","中央路二段290號","宜蘭縣壯圍鄉中央路二段290號","2","居家護理","宜蘭縣壯圍鄉","03-9385503","03-9380875","http://jhu.ilshb.gov.tw/","shung0215@mail.e-land.gov.tw","1","1",
"宜蘭縣宜蘭縣員山鄉衛生所附設居家護理所","宜蘭縣","員山鄉","復興路2號","宜蘭縣員山鄉復興路2號","2","居家護理","宜蘭縣員山鄉","03-9221575","03-9227990","http://yua.ilshb.gov.tw/","ichien@mail.e-land.gov.tw","4","1",
"臺北榮民總醫院員山分院附設居家護理所","宜蘭縣","員山鄉","榮光路386號","宜蘭縣員山鄉榮光路386號","2","居家護理","宜蘭縣頭城鎮,宜蘭縣礁溪鄉,宜蘭縣宜蘭市,宜蘭縣員山鄉","03-9233364","03-9226353","http://www.ysvh.gov.tw/ysvh/index.php?ac=HomePage","ysvh321@mail.ysvh.gov.tw","1","2",
"宜蘭縣員山鄉衛生所附設居家護理所","宜蘭縣","員山鄉","復興路2號","宜蘭縣員山鄉復興路2號","2","居家護理","宜蘭縣員山鄉","03-9221575","03-9227990","http://yua.ilshb.gov.tw/","ichien@mail.e-land.gov.tw","4","1",
"宜蘭縣冬山鄉衛生所附設居家護理所","宜蘭縣","冬山鄉","中正路16號","宜蘭縣冬山鄉中正路16號","2","居家護理","宜蘭縣冬山鄉","03-9594772","03-9592981","http://don.ilshb.gov.tw/","cjing@mail.e-land.gov.tw","1","1",
