"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","服務區域","電話","傳真","單位網址","單位電子信箱",
"連江縣立醫院","連江縣","南竿鄉","217號","連江縣南竿鄉217號","2","居家復健","連江縣南竿鄉,連江縣北竿鄉,連江縣東引鄉,連江縣莒光鄉","08-3623995","08-3622155","http://www.matsuh.gov.tw/","service@matsuh,gov,tw",
"衛生福利部金門醫院","金門縣","金湖鎮","復興路2號","金門縣金湖鎮復興路2號","2","居家復健","金門縣","082-3325546#1806","082-334805","http://www.kmhp.mohw.gov.tw/","sw1356@kmhp,mohw,gov,tw",
"宜蘭縣普門醫療財團法人普門診所","宜蘭縣","宜蘭市","神農路一段87號","宜蘭縣宜蘭市神農路一段87號","2","居家復健","宜蘭縣壯圍鄉,宜蘭縣員山鄉,宜蘭縣礁溪鄉,宜蘭縣宜蘭市","03-9313772","03-9311766","無","j6660@mail,jen-ai,org,tw",
"國立陽明大學附設醫院","宜蘭縣","宜蘭市","12鄰152號","宜蘭縣宜蘭市12鄰152號","2","居家復健","宜蘭縣壯圍鄉,宜蘭縣頭城鎮,宜蘭市","03-9325192","無","http://www.ymuh.ym.edu.tw/","12103@ymuh,ym,edu,tw",
"和信診所","宜蘭縣","宜蘭市","和睦路團管區17號","宜蘭縣宜蘭市和睦路團管區17號","2","居家復健","宜蘭縣羅東鎮,宜蘭縣壯圍鄉,宜蘭縣頭城鎮,宜蘭縣礁溪鄉,宜蘭縣員山鄉,宜蘭市","03-9313505","03-9313506","無","rita7557@yahoo,com,tw",
"鄭裕南復健科診所","宜蘭縣","羅東鎮","倉前路77-7號1樓","宜蘭縣羅東鎮倉前路77-7號1樓","2","居家復健","宜蘭縣","03-9566619","03-9576840","無","",
"財團法人羅許基金會羅東博愛醫院","宜蘭縣","羅東鎮","南昌街83號","宜蘭縣羅東鎮南昌街83號","2","居家復健","宜蘭縣羅東鎮,宜蘭縣三星鄉,宜蘭縣五結鄉,宜蘭縣冬山鄉,宜蘭縣頭城鎮,宜蘭縣蘇澳鎮,宜蘭縣宜蘭市","03-9543131","03-9559521","http://www.pohai.org.tw/","c96c013@mail,pohai,org,tw",
"財團法人天主教靈醫會羅東聖母醫院","宜蘭縣","羅東鎮","中正南路160號","宜蘭縣羅東鎮中正南路160號","2","居家復健","宜蘭縣","03-9544106#6507","03-9550046","無","sws077@hotmail,com",
"宜蘭縣物理治療生公會","宜蘭縣","羅東鎮","南昌街79號","宜蘭縣羅東鎮南昌街79號","2","居家復健","宜蘭縣","0956-999192","03-9550046","無","sws077@hotmail,com",
"明光物理治療所","宜蘭縣","蘇澳鎮","志成路521號","宜蘭縣蘇澳鎮志成路521號","2","居家復健","宜蘭縣冬山鄉,宜蘭縣蘇澳鎮,宜蘭縣東澳鄉,宜蘭縣南澳鄉","03-9973698","03-9952768","無","lisalin270@gmail,com",
"宜蘭縣普門醫療財團法人普門醫院","宜蘭縣","員山鄉","尚深路91號","宜蘭縣員山鄉尚深路91號","2","居家復健","宜蘭縣壯圍鄉,宜蘭縣員山鄉,宜蘭縣礁溪鄉,宜蘭縣宜蘭市","03-9220242","03-9220333","無","j6660@mail,jen-ai,org,tw",
"新竹市物理治療生公會","新竹縣","竹北市","鳳岡路三段29巷16弄12號","新竹縣竹北市鳳岡路三段29巷16弄12號","2","居家復健","新竹市","0975-080260","03-5903596","http://www.hsinchupta.org.tw/","hsinchupta@yahoo.com.tw",
"新竹縣職能治療師公會","新竹縣","竹北市","光明五路349號","新竹縣竹北市光明五路349號","2","居家復健","新竹縣五峰鄉,新竹縣尖石鄉","03-5583413","03-5583415","無","hccotu@gmail,com",
"新竹縣物理治療師公會","新竹縣","竹北市","縣政二路69號","新竹縣竹北市縣政二路69號","2","居家復健","新竹縣竹北市,新竹縣新豐鄉,新竹縣湖口鄉,新竹縣新埔鎮","03-5527000#2206","無","無","redcloud@ms45,url,com,tw",
