"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","許可_總床數","許可_養護床","許可_長照床","許可_安養床",
"連江縣大同之家","連江縣","南竿鄉","南竿清水村131號","連江縣南竿鄉南竿清水村131號","1","安養服務","<year=102&class=3>","","?0836-22033","?0836-22152","無","無","34","16","0","18",
"金門縣大同之家","金門縣","金城鎮","民生路72號","金門縣金城鎮民生路72號","1","安養服務","<year=102&class=2>","","?082-325052","?082-323260","http://www.kinmen.gov.tw/Layout/sub_D/index.aspx?frame=103","?cdpp@mail.kinmen.gov.tw","120","30","0","90",
"財團法人宜蘭縣私立天主教弘道仁愛之家","宜蘭縣","南澳鄉","蘇花路二段251號","宜蘭縣南澳鄉蘇花路二段251號","1","居家服務,安養服務","<year=102&class=3>","","?03-9981059","?03-9982325","http://www.hungdao.org.tw","?hung.dao@msa.hinet.net","36","0","0","36",
"財團法人台灣省天主教會新竹教區承辦竹北老人安養中心","新竹縣","竹北市","鹿場里1鄰福興東路1段353號","新竹縣竹北市鹿場里1鄰福興東路1段353號","1","安養服務","<year=102&class=2>","","?03-5500797","?03-5503970","http://www.jbec.org/","?X0926@yahoo.com.tw","49","24","0","25",
"財團法人彰化縣私立廣成社會福利慈善事業基金會附設老人安養中心","彰化縣","員林鎮","員水路1段102巷76號","彰化縣員林鎮員水路1段102巷76號","1","養護型機構,安養服務","<year=102&class=2>","","04-8337536","04-8337525","http://kuangcheng.org.tw/","kc8337525@yahoo.com.tw","101","45","","56",
"衛生福利部中區老人之家","彰化縣","田中鎮","碧峰里中南路二段210號","彰化縣田中鎮碧峰里中南路二段210號","1","安養服務","<year=102&class=1>","","04-8742811","04-8755853","http://crsch.mohw.gov.tw/","crsch03@crsch.mohw.gov.tw","390","150","15","175",
"財團法人基隆市私立博愛仁愛之家","基隆市","暖暖區","源遠路254號","基隆市暖暖區源遠路254號","1","安養服務","<year=102&class=2>","","?02-24579909","?02-24582875","https://www.facebook.com/boray.tw/","?bor.ay.keelung@gmail.com","317","48","0","269",
"基隆市立仁愛之家","基隆市","安樂區","安一路370巷1號","基隆市安樂區安一路370巷1號","1","安養服務","<year=102&class=3>","","?02-24241186","?02-24249987","http://www.klrah.gov.tw/","無","394","0","0","394",
"臺北市政府社會局老人自費安養中心","臺北市","文山區","忠順里興隆路四段109巷30弄6號","台北市文山區忠順里興隆路四段109巷30弄6號","1","安養服務","<year=102&class=3>","","?02-29393146","02-?29384624","http://www.dosw2.taipei.gov.tw/dosw/seniorhome/index.htm","?h2_master@mail.tcg.gov.tw","378","0","0","378",
"財團法人臺北市私立仁愛頤養園","臺北市","內湖區","文德路66巷99號","台北市內湖區文德路66巷99號","1","安養服務","<year=102&class=3>","","?02-26582226","02-?26582236","http://www.rah.org.tw/","?no.no1@msa.hinet.net","45","0","0","45",
"臺北市立浩然敬老院","臺北市","北投區","關渡里知行路75號","台北市北投區關渡里知行路75號","1","安養服務","<year=102&class=2>","","?02-28581081","02-?28583858","http://www.haoran.gov.taipei/","?haoran@mail.taipei.gov.tw","400","139","0","261",
"高雄市政府社會局仁愛之家","高雄市","燕巢區","高雄縣燕巢區深水村深水路1號","高雄市燕巢區高雄縣燕巢區深水村深水路1號","1","安養服務","<year=102&class=1>","","?07-6152611","?07-6151451","http://lovehome.kcg.gov.tw/","無","424","115","0","309",
"衛生福利部北區老人之家","新北市","新店區","屈尺里屈尺路83號","新北市新店區屈尺里屈尺路83號","1","安養服務","<year=102&class=2>","","02-26667747","02-26668695","http://nrsch.mohw.gov.tw","service@nrsch.mohw.gov.tw","270","51","17","190",
"衛生福利部北區老人之家頤苑自費安養中心","新北市","新店區","屈尺路81號","新北市新店區屈尺路81號","1","安養服務","<year=102&class=2>","","02-26660105","無","http://yeyan.ehosting.com.tw","yy.elder@msa.hinet.net","332","0","0","332",
"財團法人台灣省私立台北仁濟院附設仁濟安老所","新北市","淡水區","中正東路二段153號","新北市淡水區中正東路二段153號","1","安養服務","<year=102&class=2>","","02-28095600","02-28091132","http://www.tjci-ts.org.tw","無","122","0","0","122",
"財團法人中華文化社會福利基金會附設新北市私立翠柏新村老人安養中心","新北市","汐止區","永春一路5號","新北市汐止區永春一路5號","1","安養服務","<year=102&class=3>","","02-22250966","02-26451905","http://www.egv.org.tw/","p3955@ms56.hinet.net","512","0","50","462",
"財團法人臺灣基督長老教會雙連教會附設新北市私立雙連安養中心","新北市","三芝區","後厝里22-17號","新北市三芝區後厝里22-17號","1","安養服務","<year=102&class=1>","","02-26365999","02-26365998","http://www.sleh.org.tw/","sleh@ms35.hinet.net","432","154","0","212",
"財團法人新北市私立台灣天主教安老院","新北市","八里區","中山路一段33號","新北市八里區中山路一段33號","1","安養服務","<year=102&class=2>","","02-26102034","02-26100773","無","lsp1733@lsptw.org","78","25","0","53",
"新北市立仁愛之家","新北市","萬里區","玉田路61號","新北市萬里區玉田路61號","1","安養服務","<year=102&class=2>","","02-29085498","02-24921101","無","tpc591@ms.ntpc.gov.tw","416","174","0","242",
"財團法人台中市順天宮輔順將軍廟附設私立輔順仁愛之家","臺中市","北區","賴村里德化街362號","臺中市北區賴村里德化街362號","1","安養服務","<year=102&class=2>","","04-22030602#100","04-22070269","無","fullsoon@hotmail.com ","170","42","0","128",
"財團法人台灣省私立普門仁愛之家","臺南市","麻豆區","南勢里關帝廟23-15號","台南市麻豆區南勢里關帝廟23-15號","1","安養服務","<year=102&class=2>","","?06-5722384","?06-5728293","https://sites.google.com/site/pumenhome/home","a5728293@gmail.com","72","0","0","72",
